Supplier Part Number 1,Quantity,Description

"","2","Header, 2-Pin"
"","3","Header, 6-Pin"
"1007568","1","Isolated output"
"1097467","3","High Precision, Low Noise Operational Amplifier, 5 to 36 V, -55 to 125 degC, 8-pin DIP (P8), Green (RoHS & no Sb/Br)"
"1175862","1","POLYSWITCH, RADIAL, 0.4A"
"1207070","1","Wideband Current Feedback Operational Amplifier with Disable, 5 to 12 V, -40 to 85 degC, 8-pin SOIC (D8), Green (RoHS & no Sb/Br)"
"1214353","1","12-Bit, 20 MSPS ADC Internal / External Reference, Flexible Input between 2 and 5 Vpp, Out of Range Indicator, -40 to 85 degC, 28-pin SOP (DB28), Green (RoHS & no Sb/Br)"
"1318254","9","LED, SMD, 1206, CLR LENS, GREEN"
"1318261","2","LED, ALINGAP, SMD, 1206, RED"
"1318262","1","LED, ALINGAP, SMD, 1206, YELLOW"
"1366811","3","MOLEX - 70543-0037 - WIRE-BOARD CONNECTOR HEADER 3POS, 2.54MM"
"1393306","3","Right Angle, Standard Profile, Flush Mount PCB Jack"
"1414658","1","CAP 1nF 50V ±5% 0805 (2012 Metric) Thickness 0.75mm SMD"
"1414663RL","11","CAP 100nF 50V ±20% 0805 (2012 Metric) Thickness 0.75mm SMD"
"1414668","2","CAP 15pF 50V ±10% 0805 (2012 Metric) Thickness 0.75mm SMD"
"1414692","2","CAP 47pF 50V ±5% 0805 (2012 Metric) Thickness 0.75mm SMD"
"1414715","1","CAP 100nF 50V ±10% 1206 (3216 Metric) Thickness 1.7mm SMD"
"1461563","3",""
"1461568","1","CURRENT MONITOR, PRECISION, 40V"
"1514809","2","100K 0.125W 5% 0805 (2012 Metric)  SMD"
"1514818","2","150K 0.125W 5% 0805 (2012 Metric)  SMD"
"1514841","3","27K 0.125W 5% 0805 (2012 Metric)  SMD"
"1514858","2","330R 0.125W 5% 0805 (2012 Metric)  SMD"
"1514861","1","390R 0.125W 5% 0805 (2012 Metric)  SMD"
"1537444","2","6K8 0.125W 5% 0805 (2012 Metric)  SMD"
"1609779","1",""
"1650866","9","CAP 100nF 50V ±20% 0805 (2012 Metric) Thickness 1mm SMD"
"1653028","1","680R 0.125W 1% 0805 (2012 Metric)  SMD"
"1672131","1","CONVERTER, DC TO DC, 24V TO 15V, 15W"
"1696320","2","CONVERTER, DC/DC, 5V, 1A, SIP"
"1696322","1","DC/DC CONVERTER, 9V, 1A,"
"1735530","20","CAP 10uF 25V ±20% 0805 (2012 Metric) Thickness 1.45mm SMD"
"1767762","1","10K 0.125W 1% 0805 (2012 Metric)  SMD"
"1778491","1","High Performance 80 MHz MIPS-Based 32-Bit Flash Microcontroller with USB, CAN and Ethernet, 512KB Program Memory, 100-pin TQFP, Industrial Temperature"
"1799479","16","1K 0.125W 5% 0805 (2012 Metric)  SMD"
"1799480","4","1K2 0.125W 5% 0805 (2012 Metric)  SMD"
"1799481","2","1K5 0.125W 5% 0805 (2012 Metric)  SMD"
"1799485","1","10R 0.125W 5% 0805 (2012 Metric)  SMD"
"1799486","7","100R 0.125W 5% 0805 (2012 Metric)  SMD"
"1799489","6","2K2 0.125W 5% 0805 (2012 Metric)  SMD"
"1799494","3","220R 0.125W 5% 0805 (2012 Metric)  SMD"
"1799501","1","47R 0.125W 5% 0805 (2012 Metric)  SMD"
"1816828","1","CAP 4.7nF 50V ±10% 0805 (2012 Metric) Thickness 0.75mm SMD"
"1834864","1","Low-Power Linear Active Thermistor IC, 3-Pin SOT-23, Extended Temperature, Tape and Reel"
"1845750","2","CAP 1uF 25V ±20% 0805 (2012 Metric) Thickness 1mm SMD"
"1845751","1","CAP 2.2uF 50V ±10% 0805 (2012 Metric) Thickness 1.45mm SMD"
"1852183","1","500mA Fixed Output CMOS LDO, 3-Pin SOT-223, Extended Temperature"
"1864497","4","Power Inductor"
"1872053","1","10R 0.125W 1% 0805 (2012 Metric)  SMD"
"1872054","17","10K 0.125W 5% 0805 (2012 Metric)  SMD"
"1898768","2","Flash Microcontroller with XLP Technology, 20 MHz, 24 I/O, -40 to 125 degC, 28-pin SOIC (SO28), Tube"
"2112465","4",""
"2112739","1","CAP 47uF 25V -20% to +80% 2220 (5750 Metric) Thickness 2.2mm SMD"
"2113953","1","LED, 1206, BLUE, 140MCD, 473NM"
"2146610","7","CAP 100nF 50V ±10% 0603 (1608 Metric) Thickness 1mm SMD"
"2294085","3","RESISTOR, CURRENT SENSE, 0R022, 0.5W, 1%"
"2306316","5","Surface Mount Glass Passivated Rectifier, 1000V, 1 A, -65 to 125 degC, 2-Pin SMA Package, RoHS, Tape and Reel"
