Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=Quantity~Integer~Quantity~100|Field=Supplier~String~Supplier~100|Field=Supplier Order Code~String~Supplier Order Code~100|Field=Supplier Part Number~String~Supplier Part Number~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~B293A MiRLIN Integrated PIC32.PrjPcb|ReportField=ProjectFullPath~C:\Files\Dropbox\Work Files\PCB\B293 MiRLIN Integrated PIC32\B293A MiRLIN Integrated PIC32.PrjPcb|ReportField=Title~Bill of Materials For Project [B293A MiRLIN Integrated PIC32.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~223|ReportField=ReportTime~11:05:50|ReportField=ReportDate~08/05/2014|ReportField=ReportDateTime~08/05/2014 11:05:50|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~08/05/2014|ReportField=CurrentTime~11:05:37|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Files\Dropbox\Work Files\PCB\B293 MiRLIN Integrated PIC32\B293A Top.SchDoc|ReportField=DocumentName~B293A Top.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~18/04/2014|ReportField=Organization~|ReportField=ProjectName~B293A MiRLIN Integrated PIC32.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=1.39|XCorrection=1.00|YCorrection=1.00|PrintKind=1|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=15|PrintQuality=600|MediaType=1|DitherType=10|PaperKind=A3|PrintScaleMode=1|ReportField=DataSourceFileName~B293A MiRLIN Integrated PIC32.PrjPcb|ReportField=DataSourceFullPath~C:\Files\Dropbox\Work Files\PCB\B293 MiRLIN Integrated PIC32\B293A MiRLIN Integrated PIC32.PrjPcb
CAP 100nF 50V 0805(2012)|CAP 100nF 50V ±20% 0805 (2012 Metric) Thickness 0.75mm SMD|C1, C4, C5, C7, C8, C10, C11, C13, C14, C15, C17|CAPC0805(2012)75_L|11|||
CAP 10uF 25V 0805(2012)|CAP 10uF 25V ±20% 0805 (2012 Metric) Thickness 1.45mm SMD|C2, C6, C9, C12, C19_C, C19_X, C22_C, C22_X, C25, C32, C35, C37, C43, C51, C52, C53, C54, C55, C57, C61|CAPC0805(2012)145_N|20|||
CAP 1.5nF 50V 0805(2012)|CAP 1.5nF 50V ±10% 0805 (2012 Metric) Thickness 0.75mm SMD|C3|CAPC0805(2012)75_M|1|||
CAP 2.2uF 50V 0805(2012)|CAP 2.2uF 50V ±10% 0805 (2012 Metric) Thickness 1.45mm SMD|C16|CAPC0805(2012)145_M|1|||
CAP 47pF 50V 0805(2012)|CAP 47pF 50V ±5% 0805 (2012 Metric) Thickness 0.75mm SMD|C18_C, C18_X|CAPC0805(2012)75_L|2|||
CAP 10nF 25V 0805(2012)|CAP 10nF 25V ±10% 0805 (2012 Metric) Thickness 0.75mm SMD|C20_C, C20_X, C21_C, C21_X, C58, C60|CAPC0805(2012)75_L|6|||
CAP 4.7nF 50V 0805(2012)|CAP 4.7nF 50V ±10% 0805 (2012 Metric) Thickness 0.75mm SMD|C23|CAPC0805(2012)75_M|1|||
CAP 470pF 50V 0805(2012)|CAP 470pF 50V ±10% 0805 (2012 Metric) Thickness 1mm SMD|C24|CAPC0805(2012)100_M|1|||
CAP 100nF 50V 0805(2012)|CAP 100nF 50V ±20% 0805 (2012 Metric) Thickness 1mm SMD|C26, C27, C28, C29, C30, C31, C33, C34, C56|CAPC0805(2012)100_M|9|||
CAP 120nF 50V 0805(2012)|CAP 120nF 50V ±20% 0805 (2012 Metric) Thickness 1.45mm SMD|C36|CAPC0805(2012)145_N|1|||
CAP 100nF 50V 1206(3216)|CAP 100nF 50V ±10% 1206 (3216 Metric) Thickness 1.7mm SMD|C38|CAPC1206(3216)170_L|1|||
CAP 1uF 25V 0805(2012)|CAP 1uF 25V ±20% 0805 (2012 Metric) Thickness 1mm SMD|C39, C42|CAPC0805(2012)100_N|2|||
CAP 15pF 50V 0805(2012)|CAP 15pF 50V ±10% 0805 (2012 Metric) Thickness 0.75mm SMD|C40, C41|CAPC0805(2012)75_L|2|||
CAP 100nF 50V 0603(1608)|CAP 100nF 50V ±10% 0603 (1608 Metric) Thickness 1mm SMD|C44, C45, C46, C47, C48, C49, C50|CAPC0603(1608)100_N|7|||
CAP 1nF 50V 0805(2012)|CAP 1nF 50V ±5% 0805 (2012 Metric) Thickness 0.75mm SMD|C59|CAPC0805(2012)75_N|1|||
